# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
66.0,141.89088296174762,43.153276180160454,-3.7517562949666776,141.8926000328154,43.14124397700344,-4.857189023463434,141.8974145500742,43.1640640645541,-4.079174605168191,141.8826343023533,43.15452049892384,-2.318905256268408,5.0,3061751.2823870378,22.76642927487937,57.901021317023776
67.0,141.93941596354384,43.163296011963276,-10.264624136729857,141.9256628979956,43.15890186110676,-9.054864556322173,141.946825686472,43.15209759705537,-11.30611142371799,141.9457593061638,43.1788885777277,-10.43289643014941,5.0,3991019.034648681,16.474226208598548,42.349819070144704
68.0,141.91398627816338,43.20156864583742,-3.721895671358349,141.9121198200055,43.18817635815856,-4.828096654510773,141.9234298393991,43.21281378907809,-4.005605475774246,141.9064091750855,43.2037157902756,-2.331984883790028,5.0,3338456.9225110863,34.05507237051988,59.11729978926077
69.0,141.89085789425909,43.16600434084427,-2.8719178593237302,141.8826343023533,43.15452049892384,-2.318905256268408,141.8974145500742,43.1640640645541,-4.079174605168191,141.8925248303498,43.17942845905487,-2.217673716534591,5.0,2882666.21767739,22.87545850887079,57.97284814767754
70.0,141.86002559396246,43.09253529473245,-3.2362656539808086,141.8711212203743,43.09621814223969,-4.852675541276767,141.8592067247893,43.10461992481357,-2.281852320327744,141.8497488367238,43.07676781714409,-2.574269100337915,5.0,4413342.278347116,21.90145070622164,58.47713365496128
71.0,141.8748597201935,43.086345923394965,-6.092055954520826,141.8861997203253,43.09240708060729,-7.579102280388724,141.8711212203743,43.09621814223969,-4.852675541276767,141.8672582198809,43.07041254733793,-5.844390041896986,5.0,4251453.242455843,20.946739113060023,57.808049587715715
72.0,141.86322820016255,43.13298963802574,-0.7479115643172918,141.8528024868085,43.12082199824916,-0.000735588157112943,141.8716931855514,43.13131814259616,-2.242999104793853,141.8651889281277,43.14682877323192,-9.094947017729282e-13,5.0,3798453.0966387913,25.47559061363876,58.13983788512674
73.0,141.8824456005747,43.101854239293026,-6.24535470529554,141.8861997203253,43.09240708060729,-7.579102280388724,141.8900158610245,43.11693749503208,-6.304286294221129,141.8711212203743,43.09621814223969,-4.852675541276767,5.0,4041305.0965235354,25.53293598335897,58.13686168075932
74.0,141.89382940556197,43.10748475663829,-7.646505546636035,141.9052726353361,43.11310969427553,-9.056128065298253,141.8900158610245,43.11693749503208,-6.304286294221129,141.8861997203253,43.09240708060729,-7.579102280388724,5.0,4082242.133228025,25.560225348998,58.096076395782895
75.0,141.87926843207984,43.07657266545516,-7.434530339253797,141.8861997203253,43.09240708060729,-7.579102280388724,141.8672582198809,43.07041254733793,-5.844390041896986,141.8843473560333,43.06689836842026,-8.88009869547568,5.0,4653719.58884399,20.921732827280575,57.77672689654922
